"id","sequence","company_id/id","bank_id/id","currency_id/id","partner_id/id","acc_number","ccp","bvr_adherent_num"
"__setup__.res_partner_bank_68","0","","__setup__.res_bank_21","","__setup__.res_partner_47","111111","",""
"__setup__.res_partner_bank_70","0","","__setup__.res_bank_21","","__setup__.res_partner_48","111113","",""
"__setup__.res_partner_bank_71","0","","__setup__.res_bank_21","","__setup__.res_partner_50","111114","",""
"__setup__.res_partner_bank_7","0","","__setup__.res_bank_3712","","__setup__.res_partner_41","CCP 12-897712-0","",""
"__setup__.res_partner_bank_10","0","","__setup__.res_bank_3712","","__setup__.res_partner_43","CH67 8041 4000 0022 9043 5","",""
"__setup__.res_partner_bank_11","0","","__setup__.res_bank_3712","","__setup__.res_partner_44","CCP 17-678661-5","",""
"__setup__.res_partner_bank_12","0","","__setup__.res_bank_3712","","__setup__.res_partner_45","CCP 17-403406-8","",""
"__setup__.res_partner_bank_13","0","","__setup__.res_bank_3712","","__setup__.res_partner_46","CH 88 0900 0000 1070 8530 1","",""
"__setup__.res_partner_bank_15","0","","__setup__.res_bank_3712","","__setup__.res_partner_47","CH82 0024 0240 8099 0729","",""
"__setup__.res_partner_bank_16","0","","__setup__.res_bank_3712","","__setup__.res_partner_48","CH45 0076 7000 5515 64730","",""
"__setup__.res_partner_bank_17","0","","__setup__.res_bank_3712","","__setup__.res_partner_49","CCP 17 496210-2","",""
"__setup__.res_partner_bank_18","0","","__setup__.res_bank_3712","","__setup__.res_partner_50","CCP 17 573663-0","",""
"__setup__.res_partner_bank_19","0","","__setup__.res_bank_3712","","__setup__.res_partner_51","CCP 17 61 7108-1","",""
"__setup__.res_partner_bank_28","0","","__setup__.res_bank_3712","","__setup__.res_partner_62","01-80742-3","",""
"__setup__.res_partner_bank_30","0","","__setup__.res_bank_3713","","__setup__.res_partner_64","01-2590-6","",""
"__setup__.res_partner_bank_33","0","","__setup__.res_bank_3060","","__setup__.res_partner_67","58784.39","",""
"__setup__.res_partner_bank_20","0","","__setup__.res_bank_3712","","__setup__.res_partner_53","FR 76 3000 3022 0000 0501 4452 177","",""
"__setup__.res_partner_bank_93","0","","__setup__.res_bank_18","","__setup__.res_partner_52","111136","",""
"__setup__.res_partner_bank_94","0","","__setup__.res_bank_18","","__setup__.res_partner_44","111140","",""
"__setup__.res_partner_bank_95","0","","__setup__.res_bank_18","","__setup__.res_partner_49","111150","",""
"__setup__.res_partner_bank_51","0","","__setup__.res_bank_3712","","__setup__.res_partner_87","01-48408-7","",""
"__setup__.res_partner_bank_62","0","","__setup__.res_bank_21","","__setup__.res_partner_52","11115","",""
"__setup__.res_partner_bank_60","0","","__setup__.res_bank_21","","__setup__.res_partner_45","11113","",""
"__setup__.res_partner_bank_52","0","","__setup__.res_bank_21","","__setup__.res_partner_46","11110","",""
"__setup__.res_partner_bank_63","0","","__setup__.res_bank_21","","__setup__.res_partner_51","11116","",""
"__setup__.res_partner_bank_29","0","","__setup__.res_bank_3716","","__setup__.res_partner_63","01-2659-8","",""
"__setup__.res_partner_bank_32","0","","__setup__.res_bank_3716","","__setup__.res_partner_66","CH37 0483 5028 7680 7100 0","",""
"__setup__.res_partner_bank_221","","","__setup__.res_bank_1174","","__setup__.res_partner_136","CH46 0070 0115 5001 2947 9","",""
